Date,ppt _mm,tmin_C,tmean_C,tmax_C,vpdmin_hPa,vpdmax_hPa
1895-01,596.61,2.7,6.8,10.8,0.9,5.38
1895-02,134.56,3.9,10.3,16.8,1.08,11.29
1895-03,131.16,3.8,10,16.3,1.36,11.24
1895-04,44.49,4.3,11.5,18.6,1.16,13.66
1895-05,53.28,8.1,14.7,21.3,1.8,16.16
1895-06,0,9.7,19.4,29.1,2.38,30.65
1895-07,3.24,11.3,20.5,29.7,2.09,30.47
1895-08,0,10.9,21.4,31.8,2.29,36.5
1895-09,52.08,7.7,16.5,25.3,1.8,23.72
1895-10,5.77,7.7,16.2,24.7,2.42,23.15
1895-11,71.13,2.7,10,17.4,0.98,12.53
1895-12,128.61,1.2,6.5,11.8,0.89,7
1896-01,470.04,4.5,8.8,13.1,1,6.57
1896-02,21.82,2.8,10.2,17.6,0.67,12.29
1896-03,112.75,5.7,10.8,15.9,1.61,9.87
1896-04,178.55,3.6,8.8,14.1,1.05,8.28
1896-05,70.92,6.4,12.9,19.3,1.27,13.55
1896-06,0,12.1,19.7,27.4,3.9,26.57
1896-07,0.4,13.2,22.6,32.1,2.55,35.33
1896-08,6.6,12.1,20.8,29.5,2.5,29.95
1896-09,11.27,10.6,18.5,26.4,3.31,25.4
1896-10,34.29,7.4,15.6,23.8,2.01,21.14
1896-11,208.65,3.7,9.1,14.6,1.11,8.84
1896-12,249.79,4.3,9,13.7,1.26,7.78
1897-01,114.33,2.4,7.2,12,0.82,6.48
1897-02,289.42,2.7,7.5,12.3,0.67,6.25
1897-03,213.44,1.9,7,12.1,1.02,7.13
1897-04,19.5,6.1,14.3,22.5,1.74,19.33
1897-05,6.76,9.4,17.3,25.3,2.53,23
1897-06,32.2,10.6,18,25.3,2.35,21.88
1897-07,0,12.6,22,31.5,2.95,34.76
1897-08,0.53,12.1,21.8,31.5,2.62,35.19
1897-09,6.29,9.8,18.1,26.4,2.58,25.09
1897-10,59.57,6.7,14.6,22.4,1.4,18.48
1897-11,97.59,3.2,9.3,15.4,0.86,9.71
1897-12,113.68,1,7.2,13.3,0.82,8.46
1898-01,41.83,-1.4,4.8,11.1,0.67,7.06
1898-02,227.9,3.6,9.1,14.7,0.74,8.39
1898-03,21.86,1.5,8.9,16.2,1.16,12.05
1898-04,20.79,5.6,13.7,21.7,1.74,18.29
1898-05,62.91,6.8,13.3,19.9,1.29,14.15
1898-06,13.31,10.9,18.7,26.6,2.86,24.75
1898-07,0,10.7,21.5,32.3,1.57,37.15
1898-08,0,11.3,21.4,31.6,1.63,34.95
1898-09,22.25,9,17.9,26.9,2.15,26.19
1898-10,40,7.4,14.9,22.4,2.29,19.03
1898-11,70.29,3.3,10.3,17.3,1.12,12.32
1898-12,54.71,0.9,7.5,14,1.11,9.73
1899-01,289.73,3.1,8.5,13.9,0.74,7.84
1899-02,36.11,1.5,8.7,15.9,0.81,11.17
1899-03,212.32,4.2,9.6,14.9,1.19,9.1
1899-04,21.94,5.2,12.6,19.9,1.6,15.65
1899-05,51.78,5.4,12.7,19.9,1.24,15.02
1899-06,2.13,9.1,19.2,29.3,1.55,30.85
1899-07,0,9.5,22.1,34.8,1.07,44.66
1899-08,1.73,9.6,19.9,30.2,1.35,32.34
1899-09,1.65,9.9,22,34.1,2.99,44.5
1899-10,127.84,6.3,14,21.8,1.26,17.23
1899-11,243.45,7.1,11.9,16.6,1.13,9.01
1899-12,202.77,2.6,8.3,14,1.01,8.74
1900-01,137.6,4.8,10.3,15.9,1.02,9.77
1900-02,82.53,3.1,9.6,16.1,0.79,10.48
1900-03,119.35,5.5,12.8,20.1,1.24,15.33
1900-04,67.02,4.6,11.9,19.2,1.1,14.32
1900-05,28.48,8,15.9,23.9,1.69,20.45
1900-06,6.79,11,21,31,2.57,34.77
1900-07,0,11,22.8,34.6,1.77,43.72
1900-08,0,9.9,20.8,31.7,1.52,36.23
1900-09,8.03,8.1,18.3,28.5,1.8,30.34
1900-10,139.89,6.5,13.9,21.2,1.36,16.46
