Date,ppt_mm,tmin_degrees_C,tmean_degrees_C,tmax_degrees_C,vpdmin_hPa,vpdmax_hPa
1895-01,180.7,3,6.9,10.7,0.45,3.98
1895-02,62.53,5.4,10.9,16.5,0.66,9.22
1895-03,51.16,5.7,11.2,16.7,0.72,9.52
1895-04,46.05,6.8,14.6,22.3,0.83,17.47
1895-05,15.03,10.2,18.5,26.7,1.95,24.66
1895-06,0,13.6,23.6,33.6,5.02,41.74
1895-07,2.1,16.4,25.3,34.1,6.37,41.57
1895-08,2.82,16.6,25.5,34.4,6.76,42.63
1895-09,20.84,12.5,20.3,28.1,4.21,27.98
1895-10,7.94,10.3,18.5,26.8,2.72,25.57
1895-11,31.3,4.1,11,18,0.79,12.37
1895-12,30.04,1.7,7.1,12.5,0.5,6.66
1896-01,193.53,4.7,9.7,14.6,0.56,7.2
1896-02,4.14,4.4,11.1,17.9,0.46,11.48
1896-03,63.55,6.1,12,17.9,0.35,10.24
1896-04,103.17,5,11.5,17.9,0.62,11.46
1896-05,32.11,8.2,16.3,24.4,1.56,20.98
1896-06,2.27,14.1,23.9,33.8,5.21,41.83
1896-07,6.32,18.5,27.6,36.6,8.36,48.87
1896-08,6.8,16.7,25.2,33.8,6.26,40.39
1896-09,10.08,14.1,21.6,29.1,5.01,29.69
1896-10,25.37,9.8,18.2,26.7,2.27,25.34
1896-11,70,4.9,10.9,17,0.64,10.12
1896-12,44.19,4,9.6,15.1,0.65,8.34
1897-01,81.5,2.2,6.8,11.4,0.36,5.08
1897-02,114.17,3.6,8.2,12.9,0.21,5.56
1897-03,66.98,2.7,8.1,13.6,0.29,7.01
1897-04,9.53,7.9,16.3,24.7,1.4,21.67
1897-05,7.03,11.2,20.7,30.1,2.62,32.49
1897-06,6.31,13.9,22.4,30.9,4.64,33.69
1897-07,0,17.1,26.6,36.1,7.07,47.48
1897-08,0,16.7,26.5,36.2,6.77,47.97
1897-09,0.01,14,21.7,29.4,5.01,30.4
1897-10,49.14,9.6,16.4,23.2,1.76,18.16
1897-11,24.27,5.1,11,17,0.87,10.47
1897-12,38.63,1.2,7.1,13,0.38,7.19
1898-01,20.92,-1.3,4.6,10.4,0.31,5.69
1898-02,57.73,5.2,10.6,15.9,0.3,8.1
1898-03,15.71,2.7,9.8,17,0.72,11.61
1898-04,8.64,7.3,16.9,26.4,1.47,25.83
1898-05,29.25,8.7,17.4,26.1,1.68,24.31
1898-06,1.57,13.8,23.9,34,5.03,42.78
1898-07,0,16.9,26.8,36.7,6.97,49.32
1898-08,0,17.4,26.5,35.6,6.96,45.44
