Date,ppt (mm),tmin (degrees C),tmax (degrees C),vpdmin (hPa),vpdmax (hPa)
1895-01,9.52,-11.9,2.4,0.66,5.03
1895-02,19.7,-14.8,1.2,0.4,4.45
1895-03,15.58,-7.8,8.8,1,8.7
1895-04,26.53,-0.6,18,1.46,16.5
1895-05,74.71,3.2,19.6,1.5,16.82
1895-06,81.63,6.8,22.8,1.37,19.52
1895-07,42.19,10.1,26.3,2,24.22
1895-08,14.41,10.3,28.9,3.1,31.17
1895-09,10.9,5.4,25.8,2.4,27.21
1895-10,15.62,-1.8,16.4,1.6,15.01
1895-11,12.76,-8,8.1,0.78,7.96
1895-12,4.08,-10.7,4.6,0.7,6.18
1896-01,13.29,-9.2,8.2,0.8,8.43
1896-02,7.57,-9.2,7.8,0.88,8.2
1896-03,27.86,-7.4,7.3,0.97,7.44
1896-04,42.87,-1.8,15.9,1.19,13.91
1896-05,40.83,4.5,21.8,1.99,20.12
1896-06,54.88,9,27.2,2.57,27.68
1896-07,53.98,12.2,29.4,3.16,30.66
1896-08,37.26,11.1,29.3,3.28,31.3
1896-09,36.08,6.3,22,2.07,19.4
1896-10,14.15,-1.3,16.6,1.65,15.17
1896-11,4.15,-9.7,6.1,0.71,6.77
1896-12,2.9,-7.7,9,0.98,8.91
1897-01,6.13,-12.1,3.6,0.63,5.77
1897-02,15.87,-10,4.7,0.71,6.02
1897-03,47.82,-7.3,6.7,0.84,6.79
1897-04,34.87,-0.9,14.3,1.44,12.11
1897-05,48.92,5.4,23.2,2.17,22.07
1897-06,56.46,8.5,25.3,2.29,23.94
1897-07,50.58,10,28.5,2.57,29.59
1897-08,63.64,10.6,27.4,2.35,26.46
1897-09,13.32,8.3,26.3,2.76,26.73
1897-10,28.08,0.3,17.2,1.45,14.94
1897-11,10.64,-6.4,9.7,0.91,8.87
1897-12,14.59,-11.4,2.4,0.57,4.75
1898-01,10.44,-11.4,3.8,0.68,5.77
1898-02,4.46,-8,8.7,1.04,8.78
1898-03,13.16,-8.9,8.1,0.84,8.29
1898-04,28.54,-1.3,16.7,1.35,14.98
1898-05,109.12,3.7,16.6,0.97,11.8
1898-06,40.59,8.5,26.5,2.38,26.42
1898-07,37.41,11.3,29.4,2.97,31.2
1898-08,21.06,10.9,30.4,3.25,34.23
1898-09,23.52,3.7,24.8,1.9,25.59
1898-10,12.16,-1.4,15.1,1.56,13.34
1898-11,11.85,-9.5,6.2,0.71,6.79
1898-12,5.4,-12,3.2,0.62,5.46
1899-01,17.24,-11.7,3.8,0.61,5.68
1899-02,16.66,-19.1,-4.5,0.25,2.43
1899-03,27.65,-8.6,5.6,0.82,6.34
1899-04,20.26,-2.1,15.6,1.32,13.86
1899-05,34.5,2.6,20.4,1.75,18.55
1899-06,28.57,7.7,26.2,2.52,26.59
1899-07,47.15,11.2,29.1,2.78,30.39
1899-08,32.44,10.7,29.2,3.11,31.47
1899-09,9.24,5.8,26.1,2.58,27.88
1899-10,28.91,-0.5,15.7,1.45,13.4
1899-11,8.73,-4.2,13.1,1.14,11.75
1899-12,5.69,-10.4,5.1,0.67,6.32
1900-01,1.53,-8.1,7.7,0.93,7.96
1900-02,22.7,-11.9,2.9,0.56,5.07
1900-03,11.47,-5.2,11.1,1.27,10.33
1900-04,146.51,-0.9,12.9,0.89,9.93
1900-05,23.5,5.1,21.8,2.07,19.87
1900-06,23.31,9.7,28.2,3.05,29.94
1900-07,30.52,10.6,28.9,2.81,30.47
1900-08,11.13,10.1,30.6,3.22,35.5
1900-09,28.45,5.9,23.3,2.02,21.86
1900-10,6.25,0.4,19.3,1.92,18.34
1900-11,1.5,-6.2,10.9,0.94,9.93
1900-12,4.71,-8.3,8,0.86,8.12
1901-01,1.33,-10.7,6.4,0.7,7.3
1901-02,14.65,-13.2,1.4,0.49,4.42
1901-03,38.61,-6.6,8.6,0.94,8.14
1901-04,61.48,-1.4,13.5,1.17,11.08
1901-05,47.15,4.9,21.4,1.78,18.92
1901-06,53.38,8,24.9,2.07,23.11
