Date,ppt_mm,tmin_C,tmax_C,vpdmin-hPa,vpdmax_hPa
1895-01,19.73,3.5,18.3,2.65,15.64
1895-02,0,2.8,21.4,3.79,21.61
1895-03,0,5.1,24.8,4.92,27.54
1895-04,0,9.8,29.1,7.31,35.8
1895-05,2.83,14.3,33.1,10.42,45.12
1895-06,0.71,17.4,37.2,13.07,57.12
1895-07,4.71,22.8,37.7,14.35,52.82
1895-08,120.46,22.2,36.3,9.13,42.95
1895-09,22.37,18.3,35.7,10.24,48.14
1895-10,17.12,11.4,29.5,6.69,34.79
1895-11,97.48,5.9,21.3,2.46,18.38
1895-12,2.9,0.5,18.5,2.77,17.57
1896-01,14.73,3.3,20,2.99,18.54
1896-02,3.81,4.6,19.9,3.34,18.17
1896-03,8.64,7,24.9,5.26,26.78
1896-04,1.92,7.5,27.8,6.05,33.31
1896-05,0,12.7,33.4,9.52,46.92
1896-06,4.91,21,39.7,16.28,64.47
1896-07,82.14,23.1,35.6,10.69,41.07
1896-08,32.25,22.2,35.4,9.96,41.63
1896-09,27.69,19.8,34,9.9,40.44
1896-10,83.49,13.3,27.3,4.79,25.92
1896-11,9.33,6.1,22.9,4.21,22.53
1896-12,19.4,3.4,20.5,3.39,19.54
1897-01,47.95,3.3,16.1,1.98,12.15
1897-02,4.14,2.1,18.4,2.67,16.68
1897-03,5.01,2.4,22,3.89,23.23
1897-04,0,8.2,28.8,6.66,35.62
1897-05,0,14.3,34.1,10.67,48.27
1897-06,0,17.1,36.4,12.76,54.46
1897-07,45.96,23.2,36.6,12.68,46.44
1897-08,85.95,22.5,34.9,8.19,37.36
1897-09,93.16,20.6,33.4,7.94,35.39
1897-10,13.63,10.5,28.7,6.06,33.03
1897-11,0,5.8,25.9,4.8,29.24
1897-12,3.78,-0.6,19.3,2.62,19.06
1898-01,30.71,-0.2,15.7,1.92,13.57
1898-02,0,4.1,23.6,4.31,25.28
1898-03,17.02,4.5,21.8,4.04,21.78
1898-04,24.56,10.7,28.6,6.93,33.53
1898-05,0,12.2,31,9.08,40.18
1898-06,5.85,19,37.1,13.78,55.24
1898-07,75.24,23.2,37.1,12.43,47.77
1898-08,95.24,22.8,36,8.95,40.74
1898-09,20.34,17.4,35.3,9.74,47.37
1898-10,0,9,31.4,6.34,40.84
1898-11,18.05,2.9,22.5,3.24,22.83
1898-12,38.12,1.8,15.3,1.72,11.78
1899-01,19.02,-0.4,16.9,2.09,15.14
1899-02,9.09,0.8,18.5,2.92,17.62
1899-03,8.3,3.9,23.5,4.4,25.38
1899-04,12.2,9.4,28.1,6.75,33.18
1899-05,0,9.6,30.4,7.92,39.76
1899-06,31.18,18.8,35.6,12.96,50.29
1899-07,37.48,23.6,37,13.22,47.28
1899-08,53.01,20.8,36.3,9.91,46.67
1899-09,2.03,18.9,37,11.8,52.99
1899-10,14.31,11.1,27.9,6.18,30.53
1899-11,14.09,5.2,23.9,4.02,24.6
1899-12,0,1.5,20.1,3.13,19.66
1900-01,5.04,2.4,21.2,3.04,20.92
1900-02,13.42,1.9,20.8,3.55,20.96
1900-03,14.95,8.2,25.6,5.56,27.64
